ntaname,Afghan,African (General),American,Arabic,Argentine,Armenian,Asian Fusion,Australian,Austrian,Bangladeshi,Basque,Belgian,Brazilian,British,Burmese,Cajun/Creole,Cambodian,Cantonese,Caribbean (General),Catalan,Chinese,Colombian,Cuban,Czech,Dominican,Egyptian,Eritrean,Ethiopian,Filipino,French,Georgian,German,Greek,Hainan,Haitian,Hawaiian,Himalayan/Nepalese,Honduran,Hungarian,Iberian,Indian,Indonesian,Irish,Italian,Japanese,Korean,Laotian,Latin American (General),Lebanese,Malaysian,Mediterranean,Mexican,Middle Eastern (General),Modern European,Mongolian,Moroccan,New American,New Mexican Cuisine,Pakistani,Pan Asian,Persian/Iranian,Peruvian,Polish,Portuguese,Puerto Rican,Russian,Salvadoran,Sardinian,Scandinavian,Scottish,Senegalese,Shanghainese,Sicilian,Singaporean,Slovakian,Soul Food,South African,Southern,Spanish,Sri Lankan,Syrian,Szechuan,Taiwanese,Tex-Mex,Thai,Trinidadian,Turkish,Tuscan,Ukrainian,Uzbek,Venezuelan,Vietnamese,highest_category
Park Slope-Gowanus,0,1,20,0,0,0,9,0,0,0,0,0,0,0,0,2,0,0,10,0,21,3,0,0,0,1,0,1,0,5,0,0,4,0,0,1,1,0,0,0,8,1,1,38,17,4,0,12,1,0,8,34,3,1,0,0,16,1,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,2,0,0,1,0,4,14,0,2,0,0,0,0,9,Italian
Parkchester,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,7,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Pelham Bay-Country Club-City Island,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,9,2,0,0,2,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,American
Pelham Parkway,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,0,0,1,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Chinese
Pomonok-Flushing Heights-Hillcrest,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Chinese
Port Richmond,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,15,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Mexican
Prospect Heights,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,0,0,4,7,2,0,1,0,0,4,8,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,2,10,0,1,0,0,0,0,1,New American
Prospect Lefferts Gardens-Wingate,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,29,0,19,0,0,0,1,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,3,0,0,3,3,1,0,3,0,0,0,3,3,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,Caribbean (General)
Queens Village,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,15,0,0,0,2,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Chinese
Queensboro Hill,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Chinese
